flightID,passengerID,seatLocation,speedQueue,speedExiting,hasLuggage,luggageLocation,luggagePickupTime,deplaningGroupNumber
FLIGHT_20260109_143819,49104daf-94e5-48f3-b6d4-0e29bb5cdc6e,4_2,1,2,true,4_2,2,1
FLIGHT_20260109_143819,ef31f615-3d67-4f1d-a249-ea1fddbb0117,6_5,1,2,false,,,1
FLIGHT_20260109_143819,99f00834-7104-4b58-90c1-8dc8da976318,9_5,2,2,true,9_5,1,1
FLIGHT_20260109_143819,e6911127-ea10-48e2-aa0e-9e0748000190,10_4,1,2,false,,,1
FLIGHT_20260109_143819,b69b069a-8f50-4b13-b6d3-a1ecda90bb93,6_2,2,2,true,6_2,3,1
FLIGHT_20260109_143819,5e234ebc-3edc-4f6d-a6ed-1c2619fa14bb,6_4,1,2,true,6_4,1,1
FLIGHT_20260109_143819,10c4fcf6-27c8-44e7-8fbc-d55e08c5f3f0,3_2,2,2,false,,,1
FLIGHT_20260109_143819,32b0a305-80cf-4e43-bb73-1a0648a23524,9_4,2,2,true,9_4,1,1
FLIGHT_20260109_143819,54aef4a1-24d2-4b49-b552-c2ac9f55507e,7_4,2,2,true,7_4,2,1
FLIGHT_20260109_143819,68bc2ef0-d2d7-4073-b9d9-812859343511,9_6,1,2,true,9_6,1,1
FLIGHT_20260109_143819,fb757264-c5f1-46e8-8902-f892f62c83f5,3_6,2,2,false,,,1
FLIGHT_20260109_143819,7306e134-fea9-40c6-83d4-9c760951bdba,7_2,2,2,false,,,1
FLIGHT_20260109_143819,8287aa6b-2f2d-444c-91b3-7b715a12a50c,6_3,1,2,true,6_3,1,1
FLIGHT_20260109_143819,8a2d9725-2fe3-48e4-bfe0-bcff3d9ca2cf,5_5,1,2,false,,,1
FLIGHT_20260109_143819,f154339c-32ba-432f-95a2-d36636d3e6df,1_6,1,2,true,1_6,2,1
FLIGHT_20260109_143819,bd23a399-d567-4260-be99-c2487492a948,10_1,2,2,true,10_1,3,1
FLIGHT_20260109_143819,40cd522d-5985-4ab3-972e-e02d851d6d4c,2_1,1,2,false,,,1
FLIGHT_20260109_143819,1d7e431f-c90e-471c-a4fd-d6e78bc64fa1,2_6,1,2,true,2_6,3,1
FLIGHT_20260109_143819,956e6cc7-3b01-4922-b3a7-1442a12bab04,4_5,2,2,true,4_5,1,1
FLIGHT_20260109_143819,51bce142-33b8-4c73-abab-db68574eafce,7_5,2,2,false,,,1
FLIGHT_20260109_143819,ac6b2ebe-1718-4d64-a7f7-9b0e9af4e9cd,2_3,2,2,true,2_3,3,1
FLIGHT_20260109_143819,867a7617-d400-4746-b73b-85fcb40827d9,8_5,1,2,true,8_5,1,1
FLIGHT_20260109_143819,b5389440-e8c6-4e8c-bd3d-450118810b53,4_4,2,2,false,,,1
FLIGHT_20260109_143819,d127354d-a13a-4487-b978-cf958e061a2c,8_1,1,2,true,8_1,3,1
FLIGHT_20260109_143819,d7a39c19-2c32-43bd-967f-911cddd63be8,5_2,1,2,true,5_2,2,1
FLIGHT_20260109_143819,00f28523-2d23-42d1-a551-f8853b1c6d0a,8_3,2,2,false,,,1
FLIGHT_20260109_143819,f8153f20-c7e1-4a13-84f2-49fc417dbaf2,5_4,1,2,false,,,1
FLIGHT_20260109_143819,0015b9d8-eee9-456a-9f74-993aeae2c8a6,2_5,1,2,true,2_5,1,1
FLIGHT_20260109_143819,9e5ae6c6-4b40-42d0-93f5-a4009701c374,10_2,2,2,false,,,1
FLIGHT_20260109_143819,faad0dec-7c54-4233-8cef-a7f3dd5a568a,10_5,2,2,false,,,1
FLIGHT_20260109_143819,bf75c815-1e81-48b1-9708-b3ce000ea3b4,7_1,2,2,false,,,1
FLIGHT_20260109_143819,47c5e637-436f-485c-9b5b-fd743864ceb5,6_1,2,2,false,,,1
FLIGHT_20260109_143819,df7fd589-147a-433a-8904-03999148fc7d,3_4,2,2,false,,,1
FLIGHT_20260109_143819,2b2ee8f1-74e9-4c6b-8bd7-56aeca1e6b18,4_1,2,2,true,4_1,3,1
FLIGHT_20260109_143819,d9f62c14-3b6a-447c-adf5-9127a9b912d1,4_3,2,2,true,4_3,2,1
FLIGHT_20260109_143819,e9d1cb8f-1840-4e99-aec2-9288a7993c49,2_2,1,2,false,,,1
FLIGHT_20260109_143819,26502c2d-6e82-4c3f-bcae-45ba545d82de,9_3,1,2,false,,,1
FLIGHT_20260109_143819,7f9464d9-91c8-4f1a-9410-aa01c333da1d,5_1,2,2,false,,,1
FLIGHT_20260109_143819,39c370ec-25da-47e4-8642-2321a8bcebd1,5_3,1,2,false,,,1
